dataset_pos,name_raw,name_clean,item_text,type,response_min,response_max,response_labels,units,reverse,scale,factor,citation
140,q89_5,mos_5,I don't like to live by society's rules.,Numeric ,1,6,,,,Margins of Society Scale,,"Travis, R. The MOS Alienation Scale: An alternative to Srole's Anomia Scale. Soc Indic Res 28, 71–91 (1993). https://doi.org/10.1007/BF01086721"
141,q89_6,mos_6,I'll never find the right person to care enough about me.,Numeric ,1,6,,,,Margins of Society Scale,,"Travis, R. The MOS Alienation Scale: An alternative to Srole's Anomia Scale. Soc Indic Res 28, 71–91 (1993). https://doi.org/10.1007/BF01086722"
142,q27,feedback,,character,,,,,,,,
143,prolific_pid,prolific_pid,,,,,,,,,,
144,study_id,study_id,,,,,,,,,,
145,session_id,session_id,,,,,,,,,,
146,cam,Herbal Remedies,Herbal remedies are beneficial for health ,,,,,,,,,
147,climate,Climate Change ,Humans are contributing to significant changes in the climate  ,,,,,,,,,
148,vax,Vaccinations,Vaccinations are beneficial for health ,,,,,,,,,
149,condition,Condition,,Character,,,,,,,,
